name,email,year,month,day
Test,test@email.com,1961,12,21
Sarah R,ellingw4@yahoo.com,1963,11,1
Rachel D,ellingw4@yahoo.com,1964,10,11
Mom,ellingw4@yahoo.com,1965,9,2
Dad,ellingw4@yahoo.com,1973,8,3
Niall,ellingw4@yahoo.com,1978,7,3
Summer A,ellingw4@yahoo.com,1982,6,4
Summer G,ellingw4@yahoo.com,1985,5,5
Alex D,ellingw4@yahoo.com,1986,4,6
Andja B,ellingw4@yahoo.com,1989,3,7
Nick J,ellingw4@yahoo.com,1991,2,8
George,ellingw4@yahoo.com,1994,1,9
Jarje,ellingw4@yahoo.com,1996,12,10
Josh ,ellingw4@yahoo.com,1998,10,12
Logan,ellingw4@yahoo.com,2000,10,13
Cameron,ellingw4@yahoo.com,2002,9,13
Kailyn,ellingw4@yahoo.com,2004,8,14
Becky,ellingw4@yahoo.com,2006,7,15
Kinsey,ellingw4@yahoo.com,2008,6,16
Margaret,ellingw4@yahoo.com,2010,5,17
Jacob,ellingw4@yahoo.com,2012,4,18
Geordi,ellingw4@yahoo.com,2016,3,19
Teya,ellingw4@yahoo.com,2020,2,20
